,MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
0,685314,668,MKD L1,Macedonia First League,M,83,Macedonia,M,5113,Shkendija Tetovo,6639,FK Sileks,-1.75,2.75,,-0.75,1.0,,3,0,8,0,0,1,0,0,147,101,117,44,5,2,7,5,0,0,83,1
1,685312,668,MKD L1,Macedonia First League,M,83,Macedonia,M,26653,FC Struga Trim & Lum,5881,FK Renova,-0.25,2.0,,0.0,0.75,,1,0,1,4,7,4,0,0,103,108,45,67,1,1,4,3,0,0,81,0
2,685313,668,MKD L1,Macedonia First League,M,83,Macedonia,M,7876,KF Shkupi Skopje,5568,Rabotnicki Skopje,-0.75,2.25,,-0.25,0.75,,2,0,2,0,1,1,0,0,123,132,66,45,4,1,6,2,0,0,82,1
3,685311,668,MKD L1,Macedonia First League,M,83,Macedonia,M,23204,Akademija Pandev,5946,Makedonija Gj. P,-0.75,2.0,,-0.25,0.75,,4,0,2,2,0,2,0,0,75,63,40,23,7,3,4,1,0,0,80,1
4,685315,668,MKD L1,Macedonia First League,M,83,Macedonia,M,5744,Vardar Skopje,27983,FK Borec,-2,3.0,,-0.75,1.25,,2,0,4,4,1,3,0,0,148,124,81,54,5,2,15,8,0,0,82,1
5,685251,833,UEFA YL,UEFA Youth League,U,4,International,G,15347,Zrinjski Mostar U19,16183,MTK Budapest U19,+0.25,3.0,10,+0.25,1.25,4.5,2,0,3,5,2,5,0,0,87,107,51,61,3,2,7,4,47,53,79,1
6,685352,969,GRC A Cup,Greece Amateur Cup,G,13,Greece,X,38072,Kopsahila,33199,Apollon Halandriou,+0.75,3.0,,+0.25,1.25,,2,0,0,1,1,1,0,0,71,172,28,72,3,4,0,3,0,0,80,1
7,685303,969,GRC A Cup,Greece Amateur Cup,G,13,Greece,X,9784,Ilisiakos,28635,Agios Dimitrios,-2.5,3.5,,-1.0,1.5,,1,1,15,2,1,2,0,0,109,68,81,35,3,1,7,2,0,0,79,1
8,685304,969,GRC A Cup,Greece Amateur Cup,G,13,Greece,X,6518,Kallithea,37751,AONF Attalos,-2.75,4.0,,-1.25,1.5,,3,1,3,3,2,1,0,0,121,82,71,36,10,2,10,2,0,0,76,1
9,684897,817,OMN L,Oman League,O,33,Oman,A,19068,Al Rustaq,8965,Sohar Club,-0.25,2.25,9,-0.25,0.75,4,1,0,4,3,2,0,0,0,56,51,29,29,1,0,3,7,0,0,54,1
10,685176,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,32506,Alliance FC,13049,Ruvu Shooting,-0.25,1.75,,0.0,0.75,,1,0,5,5,0,0,0,0,72,73,59,51,3,1,4,3,0,0,54,1
11,685141,2285,ZIM PSL,Zimbabwe Premier Soccer League,Z,203,Zimbabwe,J,26311,Chicken Inn FC,25765,CAPS United,-0.25,2.0,,0.0,0.75,,0,0,4,1,0,1,0,0,39,43,34,41,0,0,2,1,0,0,51,0
12,685308,2346,Italy CP1,Italy Campionato Primavera 1,I,22,Italy,Y,4541,Fiorentina U19,8278,Pescara U19,-0.75,3.25,10,-0.25,1.25,4.5,3,2,3,3,0,1,0,0,65,81,52,51,3,3,6,2,48,52,55,1
13,682491,191,RUS D1,Russia Division 1,R,12,Russia,E,3369,Krasnodar II,21674,FC Olimpiyets Nizhny Novgorod,+0.25,2.25,9,0.0,0.75,4.5,1,2,2,4,0,1,0,0,41,35,15,11,2,3,1,2,51,49,51,1
14,685059,2317,Italy SCGC,Italy Serie C Group C,I,22,Italy,Y,18952,Virtus Francavilla,6914,Teramo,-0.25,1.75,,0.0,0.75,,0,1,4,3,2,1,0,0,81,61,44,45,2,2,6,0,0,0,50,1
15,685106,2315,Italy SCGA,Italy Serie C Group A,I,22,Italy,Y,16066,Olbia,7016,Albinoleffe,0.0,2.25,,0.0,0.75,,1,0,0,5,3,0,0,0,49,93,17,54,2,0,1,5,0,0,49,1
16,685182,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,38082,Namungo FC,20683,Mtibwa Sugar,-0.75,1.75,,-0.25,0.75,,1,0,3,3,0,0,0,0,79,94,43,58,4,2,3,0,0,0,52,1
17,685178,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,16524,Tanzania Prisons,32728,Biashara United Mara,-1.0,2.0,,-0.25,0.75,,0,0,3,2,0,0,0,0,163,132,80,28,5,1,6,4,0,0,51,0
18,685142,2285,ZIM PSL,Zimbabwe Premier Soccer League,Z,203,Zimbabwe,J,26361,Dynamos FC,26313,FC Platinum,0.0,1.75,8.5,0.0,0.75,4,0,0,2,0,0,1,0,0,36,37,25,39,0,2,0,5,0,0,50,0
19,685223,833,UEFA YL,UEFA Youth League,U,4,International,G,16877,FC Salzburg U19,8283,Napoli U19,-1.5,3.25,10.5,-0.75,1.25,5,4,1,5,2,0,2,0,0,77,59,48,19,6,1,3,2,54,46,49,1
20,685598,258,WClub F,World Club Friendlies,W,4,International,G,5691,Chittagong Abahani,34799,Young Elephants FC,-1.0,3.25,,-0.5,1.25,,1,2,5,0,1,0,0,0,46,41,37,29,1,5,2,3,0,0,49,1
21,685177,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,37971,Polisi Tanzania FC,20915,Mwadui FC,-0.5,2.0,,-0.25,0.75,,0,0,4,1,0,0,0,0,63,52,43,25,2,0,2,7,0,0,HT,0
22,685179,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,20910,Ndanda FC,27309,Lipuli FC,0.0,1.5,,0.0,0.5,,0,1,3,2,0,0,0,0,87,83,47,48,0,1,1,2,0,0,49,1
23,685112,237,POL L3,Poland III Liga,P,20,Poland,B,6967,Lechia Tomaszow Mazowiecki,12030,Legia Warsaw II,+1.5,3.25,,+0.5,1.25,,0,0,1,6,1,2,0,0,67,100,25,45,0,2,2,4,41,59,50,0
24,685301,338,LTU AL W,Lithuania A Lyga Women,L,95,Lithuania,L,28020,Ssg FA Siauliai Women,37749,Utenis Utena Women,-1.75,4.5,,-0.75,1.75,,2,1,9,0,0,1,0,0,78,62,63,29,5,1,5,0,0,0,50,1
25,685100,900,RWA NL,Rwanda National League,R,166,Rwanda,L,3571,Etincelles,9984,AS Kigali,-0.5,2.0,8.5,-0.25,0.75,4,0,0,0,6,2,1,0,0,57,67,34,59,2,3,3,3,0,0,46,0
26,685421,704,ARG R,Argentina Reserve League,A,32,Argentina,A,7980,CA Tigre Reserves,15523,Deportivo Moron Reserves,-0.25,2.25,9,-0.25,1.0,4,0,0,2,0,1,2,0,0,60,61,32,39,3,1,2,4,0,0,45,0
27,685432,704,ARG R,Argentina Reserve League,A,32,Argentina,A,19920,Chacarita Juniors Reserves,19660,Ferro Carril Oeste Reserves,+0.5,2.25,10,+0.25,1.0,4.5,0,0,1,5,0,2,0,0,46,54,30,37,0,2,7,6,0,0,HT,0
