MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
685827,231,ISR YL,Israel Youth League,I,97,Israel,Y,34359,Hapoel Iksal Imad U19,33643,SC Haifa Robi Shapira U19,+0.75,3.25,,+0.25,1.25,,0,2,10,4,1,2,0,0,108,114,70,45,7,5,11,11,0,0,88,1
685829,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,33712,Light SS FC,20106,Paidha Black Angels,-0.25,2.0,,-0.25,0.75,,0,0,2,2,0,0,0,0,156,145,122,82,0,0,1,4,0,0,80,0
685623,2313,BGR BPFG,Bulgaria B PFG,B,40,Bulgaria,B,27712,Spartak Pleven,26564,Septemvri Sofia,+2.25,3.25,,+1.0,1.5,,0,2,1,7,2,1,0,0,91,153,25,103,1,7,4,7,34,66,81,0
685502,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,20439,Mbeya City,19557,Kagera Sugar,0.0,1.75,8.5,0.0,0.75,4,1,4,2,4,1,1,0,0,254,196,103,75,1,5,13,8,0,0,77,1
685843,258,WClub F,World Club Friendlies,W,4,International,G,28999,Gokulam Kerala FC,2662,Terengganu,+0.25,3.0,,0.0,1.25,,0,0,10,0,2,2,0,0,70,51,85,27,7,1,3,1,54,46,77,0
685622,2313,BGR BPFG,Bulgaria B PFG,B,40,Bulgaria,B,20676,Pomorie,11959,Lokomotiv G. Oryahovitsa,-0.5,2.5,,-0.25,1.0,,2,3,8,2,2,2,0,0,72,55,58,39,2,4,5,2,56,44,78,1
685550,2573,POR U23 L,Portugal U23 League,P,45,Portugal,P,31905,Portimonense U23,32397,Belenenses U23,-0.5,3.0,9.5,-0.25,1.25,4.5,3,3,1,3,1,2,1,0,97,124,45,59,4,8,7,4,45,55,77,1
685719,212,URY RL,Uruguay Reserve League,U,52,Uruguay,W,22812,Boston River Reserves,1451,Nacional de Montevideo Reserves,+1.25,3.0,,+0.25,1.25,,1,2,3,4,2,1,0,0,122,147,65,82,4,9,3,5,0,0,78,1
685603,2336,Albania CP,Albania Championship,A,53,Albania,A,14595,Partizani Tirana,15043,Skenderbeu,-0.75,2.0,,-0.25,1.0,,3,1,3,3,2,1,0,0,77,91,45,34,3,3,1,1,0,0,77,1
685818,212,URY RL,Uruguay Reserve League,U,52,Uruguay,W,4268,Defensor Sporting Reserves,1889,Racing Club de Montevideo Reserves,-0.25,3.0,,0.0,1.25,,2,2,2,3,0,2,0,0,94,105,39,43,2,3,4,7,0,0,75,1
685621,2313,BGR BPFG,Bulgaria B PFG,B,40,Bulgaria,B,27513,FC Hebar Pazardzhik,15094,Pirin Blagoevgrad,-0.75,2.75,,-0.25,1.0,,1,3,4,4,1,1,0,0,70,63,40,30,2,7,5,10,55,45,78,1
685564,1197,ZMB SL,Zambia Super League,Z,179,Zambia,Z,4655,Nkana FC,20998,Lusaka Dynamos,-0.25,2.0,,0.0,0.75,,0,0,6,2,2,1,0,0,87,88,62,28,2,4,10,3,51,49,73,0
685565,1197,ZMB SL,Zambia Super League,Z,179,Zambia,Z,13925,Nkwazi,15112,NAPSA Stars,0.0,1.75,,0.0,0.75,,0,0,4,2,4,0,0,0,69,72,34,32,0,0,12,9,55,45,72,0
685646,704,ARG R,Argentina Reserve League,A,32,Argentina,A,19790,All Boys Reserves,19819,Villa Dalmine Reserves,-0.25,2.25,10,0.0,1.0,4.5,0,0,3,3,0,1,0,0,100,110,61,62,2,2,4,5,0,0,72,0
685817,1197,ZMB SL,Zambia Super League,Z,179,Zambia,Z,14627,Zesco United,15463,Mufulira Wanderers,-0.75,2.0,,-0.25,0.75,,2,0,2,2,0,1,0,0,86,61,59,37,3,0,2,4,58,42,67,1
685828,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,38460,Kigezi Homeboys FC,28248,Kitara FC,-0.25,2.0,,0.0,0.75,,1,1,4,3,0,0,0,0,74,76,43,31,1,1,6,3,0,0,67,1
685825,969,GRC A Cup,Greece Amateur Cup,G,13,Greece,X,33764,Megarikos,29434,Thrasyvoulos Fylis,-1.75,3.5,,-0.75,1.5,,2,2,5,1,0,0,0,0,118,66,91,36,7,3,11,7,0,0,70,1
685651,492,BRA,Brazilian Matches,B,47,Brazil,B,32785,Acao RJ,32263,Tomazinho FC,-1.5,2.75,11,-0.75,1.0,5.5,4,0,2,3,1,2,0,0,66,60,42,35,7,1,8,3,0,0,61,1
685847,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,38374,MYDA FC,25369,Doves All Stars,0.0,1.75,,0.0,0.75,,1,0,2,8,0,1,0,0,71,67,26,43,1,1,2,3,0,0,66,1
685844,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,28241,Bukedea TC FC,38462,Mbale Heroes,-0.25,2.0,,+0.5,0.5,,0,0,2,4,2,0,0,0,93,113,65,84,3,4,6,7,0,0,61,0
685845,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,13029,Kasese New Villa,28246,Kansai Plascon FC,0.0,2.0,,0.0,0.75,,1,0,1,0,2,1,0,0,97,102,10,15,1,1,1,6,0,0,61,0
685846,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,23370,Kataka FC,34185,Saviours FC,-0.5,2.0,,-0.25,0.75,,1,2,0,2,0,0,0,0,66,59,26,29,3,3,1,3,0,0,57,1
685830,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,27673,UPDF FC,18500,Ndejje University,0.0,2.0,,0.0,0.75,,0,0,3,3,1,1,0,0,69,64,27,37,1,4,1,2,0,0,59,0
