MatchID;LeagueID;LeagueName;LeagueFullname;LeagueAbbreviation;CountryID;CountryName;CountryAbbreviation;HomeTeamID;HomeTeamName;GuestTeamID;GuestTeamName;HostHandicapFT;ExpectedGoalsFT;BettingCuoteFT;HostHandicapHT;ExpectedGoalsHT;BettingCuoteHT;HostGoalsFT;GuestGoalsFT;HostCornersFT;GuestCornersFT;HostYCFT;GuestYCFT;HostRCFT;GuestRCFT;HostAttacksFT;GuestAttacksFT;HostDAttacksFT;GuestDAttacksFT;HostonTargetFT;GuestonTargetFT;HostoffTargetFT;GuestoffTargetFT;HostPossessionFT;GuestPossessionFT;Status;Goal
685571;2445;Kuwait D1;Kuwait Division 1;K;72;Kuwait;K;8016;Al Salibikhaet SC;12447;Burgan SC;#FIELD!;2.75;;#FIELD!;1.0;;1;0;4;2;5;2;0;0;67;66;74;70;11;6;6;5;0;0;90;0
685572;2445;Kuwait D1;Kuwait Division 1;K;72;Kuwait;K;8014;Khaitan;7960;Al Fahaheel SC;#FIELD!;2.75;;0.0;1.0;;1;2;2;1;3;5;0;0;97;79;66;48;2;6;4;2;0;0;85;1
684931;720;SAU D1;Saudi Arabia Division 1;S;36;Saudi Arabia;S;23906;Al Thuqbah;28557;Al Taqdom;#FIELD!;2.5;9;#FIELD!;0.5;4;2;0;8;8;1;1;0;0;102;116;41;45;5;3;3;5;0;0;84;1
685082;236;DZA YL;Algeria Youth League;A;111;Algeria;A;11019;JS Saoura U21;32221;NC Magra U21;-2;3.5;;#FIELD!;1.5;;0;0;10;0;2;3;1;1;79;39;84;18;6;1;19;2;0;0;82;0
685276;955;BHR D2;Bahrain Division 2;B;80;Bahrain;B;12742;Al Ittifaq Maqaba;10562;Isa Town;2;3.0;8.5;#FIELD!;1.25;4;0;3;1;7;2;0;0;0;56;50;21;50;0;7;1;6;0;0;73;1
685277;955;BHR D2;Bahrain Division 2;B;80;Bahrain;B;10426;Qalali;2024;Malkiya;#FIELD!;3.25;8.5;#FIELD!;1.25;4;1;2;3;4;5;2;0;0;55;60;29;41;3;6;1;3;0;0;73;1
685134;720;SAU D1;Saudi Arabia Division 1;S;36;Saudi Arabia;S;25207;Al Kawkab;24316;Al Jabalain;#FIELD!;2.25;;0.0;1.0;;0;1;3;4;3;2;0;0;71;69;53;48;1;4;2;6;0;0;70;0
685305;315;UKR DL;Ukraine Druha Liga;U;21;Ukraine;W;32096;FC Alliance Lipova Dolina;37522;FK Avanhard Kramatorsk II;#FIELD!;3.5;;#FIELD!;1.5;;1;0;6;1;2;2;0;0;90;83;70;50;2;1;7;5;0;0;69;1
685154;2349;Qatar L2;Qatar League 2;Q;34;Qatar;K;10293;Al Mesaimeer SC;19941;Al-Kharitiyath SC;#FIELD!;3.25;9.5;#FIELD!;1.25;4.5;3;2;2;3;0;1;0;0;56;59;36;60;12;7;3;12;0;0;70;1
685271;833;UEFA YL;UEFA Youth League;U;4;International;G;23288;Sheriff Tiraspol U19;38196;Shkendija Tirane U19;#FIELD!;3.25;11.5;#FIELD!;1.25;5.5;1;0;2;5;1;2;0;0;76;79;36;43;6;5;3;3;44;56;73;1
685413;704;ARG R;Argentina Reserve League;A;32;Argentina;A;28720;Deportivo Laferrere Reserves;33363;CA Ituzaingo Reserves;#FIELD!;3.0;;#FIELD!;1.25;;2;3;4;3;2;1;0;0;90;94;56;50;4;4;9;4;0;0;73;1
685156;2349;Qatar L2;Qatar League 2;Q;34;Qatar;K;38086;Al Waab FC;13044;Al-Mu'aidar;#FIELD!;3.25;8.5;#FIELD!;1.25;4;0;5;0;8;0;1;0;0;49;64;17;36;1;8;2;9;40;60;71;1
682493;191;RUS D1;Russia Division 1;R;12;Russia;E;1318;Neftekhimik Nizhnekamsk;1331;SKA Energia Khabarovsk;#FIELD!;2.25;10;#FIELD!;1.0;4.5;1;1;1;4;2;2;0;1;90;77;50;42;3;4;7;7;55;45;69;1
685264;833;UEFA YL;UEFA Youth League;U;4;International;G;8877;Ludogorets Razgrad U19;2578;Slovan Bratislava U19;0.0;3.0;10;0.0;1.25;4.5;1;0;1;2;1;1;0;0;101;99;56;50;3;1;4;2;54;46;74;1
685263;833;UEFA YL;UEFA Youth League;U;4;International;G;23287;PAOK Salonika U19;31995;Bohemians Dublin U19;#FIELD!;3.0;10;#FIELD!;1.25;4.5;1;0;6;5;1;0;0;0;82;68;66;59;5;0;7;4;49;51;72;0
685278;833;UEFA YL;UEFA Youth League;U;4;International;G;10835;FK Brodarac U19;19596;Rennes U19;#FIELD!;3.0;9.5;#FIELD!;1.25;4.5;0;0;0;4;3;2;0;0;76;125;32;74;0;3;2;10;0;0;74;0
685280;833;UEFA YL;UEFA Youth League;U;4;International;G;38195;FK Liepaja U19;7905;FC Porto U19;#FIELD!;4.25;;#FIELD!;1.75;;0;2;1;7;1;1;0;0;48;131;17;91;1;6;0;8;0;0;71;1
685317;769;HRV Cup;Croatia Cup;C;98;Croatia;K;5584;NK Zadar;5349;NK Osijek;#FIELD!;3.25;;#FIELD!;1.25;;0;2;3;2;1;1;0;0;101;95;31;49;1;6;4;3;46;54;72;1
682489;191;RUS D1;Russia Division 1;R;12;Russia;E;5372;Rotor Volgograd;1303;Luch-Energiya Vladivostok;#FIELD!;2.25;9;#FIELD!;1.0;4;2;0;6;4;0;3;0;0;88;111;71;56;2;0;4;3;57;43;69;1
685153;2349;Qatar L2;Qatar League 2;Q;34;Qatar;K;33107;Al Bidda SC;10717;Al Markhiya;#FIELD!;3.0;8.5;#FIELD!;1.25;4;0;3;0;2;1;0;0;0;77;73;25;44;0;4;2;4;0;0;67;1
685414;704;ARG R;Argentina Reserve League;A;32;Argentina;A;23097;Excursionistas Reserves;33771;General Lamadrid Reserves;#FIELD!;2.75;;#FIELD!;1.0;;2;0;3;0;0;2;0;0;73;59;40;23;6;0;2;5;0;0;63;1
