MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
685276,955,BHR D2,Bahrain Division 2,B,80,Bahrain,B,12742,Al Ittifaq Maqaba,10562,Isa Town,+2,3.0,8.5,+0.75,1.25,4,1,3,1,7,4,1,1,0,71,68,35,55,1,7,2,7,0,0,90,1
685277,955,BHR D2,Bahrain Division 2,B,80,Bahrain,B,10426,Qalali,2024,Malkiya,+1.5,3.25,8.5,+0.75,1.25,4,1,2,4,6,6,3,0,0,67,73,35,59,4,6,1,4,0,0,95,1
685134,720,SAU D1,Saudi Arabia Division 1,S,36,Saudi Arabia,S,25207,Al Kawkab,24316,Al Jabalain,+0.25,2.25,,0.0,1.0,,0,2,4,6,3,4,0,0,90,94,72,65,2,9,4,6,0,0,92,0
685305,315,UKR DL,Ukraine Druha Liga,U,21,Ukraine,W,32096,FC Alliance Lipova Dolina,37522,FK Avanhard Kramatorsk II,-2.25,3.5,,-1.0,1.5,,2,0,7,1,2,3,0,0,132,113,92,70,4,1,7,5,0,0,91,1
685154,2349,Qatar L2,Qatar League 2,Q,34,Qatar,K,10293,Al Mesaimeer SC,19941,Al-Kharitiyath SC,+0.5,3.25,9.5,+0.25,1.25,4.5,3,3,3,5,0,1,0,0,73,79,50,78,12,9,4,15,0,0,92,1
685271,833,UEFA YL,UEFA Youth League,U,4,International,G,23288,Sheriff Tiraspol U19,38196,Shkendija Tirane U19,-1.25,3.25,11.5,-0.5,1.25,5.5,1,0,4,5,1,3,0,0,91,99,52,54,7,6,5,3,44,56,90,1
685413,704,ARG R,Argentina Reserve League,A,32,Argentina,A,28720,Deportivo Laferrere Reserves,33363,CA Ituzaingo Reserves,+0.25,3.0,,+0.25,1.25,,2,3,4,3,3,1,1,0,120,120,82,66,8,4,12,4,0,0,FT,1
685156,2349,Qatar L2,Qatar League 2,Q,34,Qatar,K,38086,Al Waab FC,13044,Al-Mu'aidar,+1.25,3.25,8.5,+0.5,1.25,4,0,6,0,9,0,1,0,0,60,81,20,50,2,9,3,14,40,60,FT,1
682493,191,RUS D1,Russia Division 1,R,12,Russia,E,1318,Neftekhimik Nizhnekamsk,1331,SKA Energia Khabarovsk,-0.25,2.25,10,-0.25,1.0,4.5,2,2,3,4,5,3,0,1,114,96,65,48,6,5,8,9,55,45,91,1
685264,833,UEFA YL,UEFA Youth League,U,4,International,G,8877,Ludogorets Razgrad U19,2578,Slovan Bratislava U19,0.0,3.0,10,0.0,1.25,4.5,1,0,1,5,1,3,0,0,112,120,66,70,3,1,5,4,50,50,FT,1
685263,833,UEFA YL,UEFA Youth League,U,4,International,G,23287,PAOK Salonika U19,31995,Bohemians Dublin U19,-0.5,3.0,10,-0.25,1.25,4.5,1,0,6,6,1,1,0,0,111,93,93,81,5,0,9,6,51,49,90,0
685278,833,UEFA YL,UEFA Youth League,U,4,International,G,10835,FK Brodarac U19,19596,Rennes U19,+1.5,3.0,9.5,+0.75,1.25,4.5,0,0,0,4,3,2,0,0,98,155,44,95,0,4,3,12,0,0,90,0
685280,833,UEFA YL,UEFA Youth League,U,4,International,G,38195,FK Liepaja U19,7905,FC Porto U19,+2.75,4.25,,+1.25,1.75,,0,3,1,7,4,3,0,0,68,163,26,108,1,7,1,10,0,0,FT,1
685317,769,HRV Cup,Croatia Cup,C,98,Croatia,K,5584,NK Zadar,5349,NK Osijek,+2.5,3.25,,+1.0,1.25,,0,3,3,2,1,1,0,0,126,121,44,58,1,7,6,3,46,54,FT,1
682489,191,RUS D1,Russia Division 1,R,12,Russia,E,5372,Rotor Volgograd,1303,Luch-Energiya Vladivostok,-1.0,2.25,9,-0.25,1.0,4,2,0,9,6,0,4,0,0,106,131,93,75,2,2,6,6,55,45,91,1
685153,2349,Qatar L2,Qatar League 2,Q,34,Qatar,K,33107,Al Bidda SC,10717,Al Markhiya,+1.0,3.0,8.5,+0.5,1.25,4,0,4,1,2,1,0,0,0,97,97,32,59,0,5,3,6,0,0,89,1
685414,704,ARG R,Argentina Reserve League,A,32,Argentina,A,23097,Excursionistas Reserves,33771,General Lamadrid Reserves,-1.0,2.75,,-0.5,1.0,,3,0,3,0,1,3,0,0,93,82,48,35,9,2,3,7,0,0,85,1
684949,817,OMN L,Oman League,O,33,Oman,A,24159,Al-Nahda,27575,Dhofar,+0.75,2.5,8.5,+0.25,1.0,4,0,0,2,10,1,2,0,0,69,62,42,60,2,3,6,11,0,0,83,0
684932,720,SAU D1,Saudi Arabia Division 1,S,36,Saudi Arabia,S,34228,Al-Bukayriyah FC,18789,Al Najoom,-0.25,2.5,9,0.0,1.0,4,7,1,3,5,2,5,0,0,96,81,53,56,8,3,3,2,0,0,83,1
685561,1727,IVO CLC,Ivory Coast League Cup,I,152,Ivory Coast,K,21439,Ecole de Football Yeo Martial,19930,AS Denguele,0.0,2.0,,0.0,0.75,,1,2,4,0,0,1,0,0,86,67,38,31,3,5,4,3,0,0,64,1
685132,1909,Arab CC,Arab Club Championship,A,36,Saudi Arabia,S,930,Al Wasl SC,909,Al Ittihad Jeddah,+0.5,3.0,,+0.25,1.25,,1,1,5,1,1,1,0,1,45,45,37,27,5,1,9,2,43,57,64,1
685300,235,LTU L1,Lithuania 1 Lyga,L,95,Lithuania,L,35575,BFA Vilnius,30193,FC Kupiškis,-2,4.0,,-1.0,1.75,,0,1,2,2,1,1,0,0,86,103,53,58,1,4,4,5,48,52,67,1
684933,720,SAU D1,Saudi Arabia Division 1,S,36,Saudi Arabia,S,15771,Ohod Madinah,5410,Al Qadisiya Al Khubar,0.0,2.5,9,0.0,1.0,4.5,0,0,3,0,2,1,0,0,59,58,27,23,3,2,5,0,0,0,63,0
685318,1394,FIN VPO,Finland Veikkausliiga Play-Offs,F,61,Finland,F,4813,HJK Helsinki,2090,Lahti,-1.25,2.5,8,-0.5,1.0,3,2,0,1,1,0,1,0,0,33,47,21,23,2,0,3,5,0,0,63,1
682494,191,RUS D1,Russia Division 1,R,12,Russia,E,1275,Shinnik Yaroslavl,1256,Baltika Kaliningrad,0.0,2.25,8.5,0.0,0.75,4,0,2,2,2,0,0,0,0,65,67,42,54,1,4,1,1,46,54,63,1
